"outcome","n","clusters","odds_ratio","t17_se","t17_p","t17_ci_low","t17_ci_high","cr2_se","satt_df","satt_p","cr2_ci_low","cr2_ci_high","satt_q_bh"
"septic",411,18,2.38466182703221,0.451725834210455,0.0712809350645973,0.919430447694013,6.184928988992,0.446757849791884,12.1321081333524,0.0752873160159546,0.901973509471624,6.30463308466322,0.195939139153817
"sewer_network",411,18,0.452397707559223,0.462115635046952,0.104245612284438,0.170644579560633,1.19935650069752,0.455035388320636,12.5901583832967,0.10565783896512,0.168722372947687,1.21302043249651,0.195939139153817
"benefit_or_retirement",408,18,1.86575634418763,0.242594753656455,0.0198405540833725,1.11832980527097,3.11271927071006,0.23671076326256,12.3886598442732,0.0212998513676866,1.1159509361786,3.11935464456589,0.12779910820612
"social_transfer",408,18,1.41200118570402,0.236197318139834,0.162339929678963,0.857851044435802,2.32411834357657,0.231877706246821,11.6759209769413,0.163282615961514,0.850636993573186,2.34382864076323,0.195939139153817
"low_income",403,18,1.605064745507,0.300437502938841,0.13370119628522,0.85154440744644,3.02536522433976,0.302187845089257,12.1403364139582,0.143078585984971,0.831600162477999,3.09792247946755,0.195939139153817
"unemployed",410,18,1.45812658715213,0.275606267728236,0.188986879190863,0.815196618845537,2.60812311411558,0.276448145394308,12.4484613385227,0.196636720593071,0.800292131389263,2.65669629972378,0.196636720593071
